ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,time_subset
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,20795.51159076266,4.561003747140905,10_days
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,117475.37954952224,25.765446739967445,10_days
5,natural_gas_fired_combined_cycle,2,36734.21000000001,36734.21,7.275957614183426e-12,39.25308015344668,110815.4298768932,24.304744257123797,10_days
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,51.49997032094058,0.011295300747291733,10_days
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0,10_days
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43975.2,9.644920304358568,10_days
9,onshore_wind_turbine,2,6979.000000000001,6979.0,9.094947017729282e-13,7.457551050938741,18093.013532300003,3.968274699938025,10_days
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,874.2342496499999,0.19174261095378672,10_days
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,4994.243611195953,1.0953692447228645,10_days
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,22432.464484662658,4.920030657846362,10_days
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,12.0796,0.0026493746318045114,10_days
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,24581.012440360006,5.391263848435454,10_days
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,273.0662825,0.05989063227728271,10_days
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
23,utilitypv_losangeles,1,1162.912412215916,0.0,1162.912412215916,1.2426534864408236,3043.3566399758097,0.6674883172858146,10_days
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
27,battery,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0,10_days
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
30,naturalgas_ccavgcf,2,5988.866069999994,0.0,5988.866069999994,6.39952349251466,52462.46677319997,11.50640158538388,10_days
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
38,utilitypv_losangeles,2,13472.942632877326,0.0,13472.942632877326,14.396784280133494,36012.10321144751,7.898403315203716,10_days
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
40,battery,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0,10_days
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0,10_days
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,19183.003119849993,4.217806720864487,4_weeks
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,115320.3909258224,25.355733763935145,4_weeks
5,natural_gas_fired_combined_cycle,2,36734.21000000001,36734.21,7.275957614183426e-12,39.25308015344668,116789.2419952724,25.678693097985633,4_weeks
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,566.2105591282645,0.12449389111783182,4_weeks
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0,4_weeks
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43854.72,9.642428331058763,4_weeks
9,onshore_wind_turbine,2,6979.000000000001,6979.0,9.094947017729282e-13,7.457551050938741,12429.795807800003,2.7329650091576503,4_weeks
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,856.7212738499999,0.18836908507891492,4_weeks
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,5016.15330088,1.1029120400572447,4_weeks
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,19790.00615479069,4.35126973832648,4_weeks
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,28.326681379999993,0.006228246242670954,4_weeks
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,22067.879797649985,4.852110545165026,4_weeks
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,290.7937725,0.0639374304624327,4_weeks
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
23,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
27,battery,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
30,naturalgas_ccavgcf,2,5988.866069999994,0.0,5988.866069999994,6.39952349251466,52318.733987519954,11.503428658224006,4_weeks
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
38,utilitypv_losangeles,2,17148.450057012553,0.0,17148.450057012553,18.324321786021557,46240.26054709257,10.166942083653122,4_weeks
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
40,battery,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0,4_weeks
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,24580.697783601652,5.404611143924463,8_weeks
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,109168.35460039706,24.00308205370859,8_weeks
5,natural_gas_fired_combined_cycle,2,36734.21000000001,36734.21,7.275957614183426e-12,39.25308015344668,90815.24842859729,19.967744936146747,8_weeks
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,537.5363636295239,0.11818928196069625,8_weeks
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0,8_weeks
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43854.72,9.642432062437502,8_weeks
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,16345.390277999999,3.593896285043923,8_weeks
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,856.7212284,0.18836914797985263,8_weeks
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,4876.183452824714,1.0721369938707674,8_weeks
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,18802.078569351568,4.134053648902207,8_weeks
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,64.08989372219796,0.014091583439710334,8_weeks
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,25682.19392576322,5.64679948118508,8_weeks
