C27,C40,C54,C56,C57,C58,hour,SOC27,SOC40,SOC54,SOC56,SOC57,SOC58
0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,15292.956610976922,160987.403182088,3909.1363913485297
0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,14433.006780872722,160987.403182088,3909.1363913485297
0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,14433.006780872722,160987.403182088,3909.1363913485297
0.0,0.0,0.0,2737.6465870675515,1026.5695283357309,1382.0884254528276,7,0.0,0.0,0.0,16368.815247080398,161713.29745693368,4886.420489185663
0.0,0.0,0.0,2737.646587067552,2252.1215330955893,1382.0884254528276,8,0.0,0.0,0.0,18304.623713288074,163305.78786504176,5863.704587022795
0.0,0.0,0.0,0.0,1917.9561644891214,1382.0884254528276,9,0.0,0.0,0.0,18304.623713288074,164661.9876749706,6840.988684859929
0.0,0.0,0.0,0.0,0.0,1382.0884254528278,10,0.0,0.0,0.0,18304.623713288074,164661.9876749706,7818.272782697062
0.0,0.0,0.0,0.0,0.0,1382.0884254528278,11,0.0,0.0,0.0,18304.623713288074,164661.9876749706,8795.556880534195
0.0,0.0,0.0,271.6109161013996,0.0,0.0,12,0.0,0.0,0.0,18496.68163390766,164661.9876749706,8795.556880534195
0.0,0.0,0.0,385.0403015622037,0.0,0.0,13,0.0,0.0,0.0,18768.94624217241,164661.9876749706,8795.556880534195
0.0,0.0,0.0,261.27042243197894,0.0,0.0,14,0.0,0.0,0.0,18953.692329597536,164661.9876749706,8795.556880534195
0.0,0.0,0.0,454.36308610868593,0.0,0.0,15,0.0,0.0,0.0,19274.975548905833,164661.9876749706,8795.556880534195
0.0,0.0,0.0,589.2791694436378,0.0,0.0,16,0.0,0.0,0.0,19691.658845631406,164661.9876749706,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,19691.658845631406,164661.9876749706,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,15820.04191321606,164248.21265777416,7818.272782697059
0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,15331.26879885753,160987.403182088,5863.704587022795
0.0,0.0,0.0,0.0,0.0,0.0,25,1.0366559130943525e-12,0.0,0.0,19691.658845631406,77264.64536464543,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,19691.658845631406,77264.64536464543,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,19691.658845631406,69428.08858514679,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,19691.658845631406,56709.02629404641,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,15820.04191321606,40692.671731798975,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,11948.42498080071,40692.671731798975,7818.272782697062
0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,11096.427181357429,34943.10762139325,5863.704587022796
0.0,0.0,0.0,0.0,5013.6795388704195,0.0,32,0.0,0.0,0.0,11096.427181357429,38488.31442202476,5863.704587022796
0.0,0.0,0.0,22.610828941534788,20465.6485892402,0.0,33,0.0,0.0,0.0,11112.415451830237,52959.7133208574,5863.704587022796
0.0,0.0,0.0,1255.4534924222648,27026.80714738126,0.0,34,0.0,0.0,0.0,12000.155129786353,72070.55192859174,5863.704587022796
0.0,0.0,0.0,2737.6465870675515,29920.61777350086,1382.0884254528278,35,0.0,0.0,0.0,13935.963595994028,93227.62365352493,6840.988684859929
0.0,0.0,0.0,2737.646587067551,29920.61777350086,1382.0884254528278,36,0.0,0.0,0.0,15871.7720622017,114384.69537845813,7818.272782697062
0.0,0.0,0.0,2737.6465870675515,29920.61777350086,1382.0884254528276,37,0.0,0.0,0.0,17807.580528409377,135541.76710339135,8795.556880534195
0.0,0.0,0.0,2129.203807496767,27391.34813680017,0.0,38,0.0,0.0,0.0,19313.154979218554,154910.37511676425,8795.556880534195
0.0,0.0,0.0,535.285301291705,13790.862734823155,0.0,39,0.0,0.0,0.0,19691.658845631406,164661.9876749706,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,19691.658845631406,164661.9876749706,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,19691.658845631406,134455.78446554625,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,19691.658845631406,130810.17281144836,8571.641350276463
0.0,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,16018.264754851016,113559.56975989541,6617.073154602199
0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,16018.264754851016,96529.66943556338,6617.073154602199
0.0,0.0,0.0,590.0786807907705,0.0,1382.0884254528276,45,0.0,0.0,0.0,16435.51339147178,86996.6273499598,7594.357252439332
0.0,0.0,0.0,1198.5485435179921,0.0,1382.0884254528276,46,0.0,0.0,0.0,17283.015194174615,81510.1763137286,8571.641350276466
0.0,0.0,0.0,2423.812379612521,0.0,0.0,47,0.0,0.0,0.0,18996.909364122526,78890.48305105242,8571.641350276466
0.0,0.0,0.0,982.5241392015309,0.0,316.6643797164437,48,0.0,0.0,0.0,19691.658845631406,77264.64536464543,8795.556880534195
0.0,0.0,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,16950.630074405308,44607.41721564002,5651.76359628364
0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,13079.013141989959,43486.51455531334,4990.096822889171
