ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,3703.0000000000005,8495.9,-4792.9,1.9782885106473918,75730.04754756797,8.300869611134345
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,0.0,36734.21,-36734.21,0.0,1.3443586575252255e-14,1.4735691166319475e-18
6,natural_gas_fired_combustion_turbine,2,0.0,4704.48,-4704.48,0.0,0.0,0.0
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,1776.4449999999986,5020.0,-3243.555000000001,0.9490469169044025,13941.898928423523,1.5281897857487077
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,3.7284567960594504,60759.174,6.6598925708771874
11,solar_photovoltaic,2,454.49999999999994,454.5,-5.684341886080802e-14,0.2428118088277719,3907.791,0.4283380851991295
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,3427.3399999999997,3427.34,-4.547473508864641e-13,1.8310200767167784,2046.7771378672267,0.22434992047000532
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,0.6453398296844782,362.388,0.03972182289665495
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,5.048829481467235,81765.726,8.962448224522928
16,solar_photovoltaic,3,137.5,137.5,0.0,0.07345791796219722,357.32199249999996,0.03916653118526239
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,0.0,0.0,0.0,0.0,0.0,0.0
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,3.709939180412455e-12,4.066512883475853e-16
30,naturalgas_ccavgcf,2,0.0,0.0,0.0,0.0,3.1438089981574904e-13,3.4459701823935137e-17
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.055,0.0,1848.055,0.9873038005791155,15871.096339999996,1.7396516385565428
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0
40,battery,2,0.0,0.0,0.0,0.0,-3.5165632986678134e-13,-3.8545510490016125e-17
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,9.494195744180554e-13,1.0406712195120013e-16
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,60445.80182862498,0.0,60445.80182862498,32.2925291046281,243299.58909960295,26.668386340175033
44,naturalgas_ctavgcf,3,1678.4271178420913,0.0,1678.4271178420913,0.8966819020216108,503.52813535262754,0.05519237782696992
45,landbasedwind_ltrg1,3,1384.425,0.0,1384.425,0.7396143859986537,12052.804049999997,1.321123624077468
46,landbasedwind_ltrg1,3,3988.575,0.0,3988.575,2.130853928262333,13327.5078662175,1.4608455774354208
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
48,landbasedwind_ltrg1,3,8408.475,0.0,8408.475,4.492138667179537,30331.381617945048,3.3246624304305574
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,4537.18269284947,0.0,4537.18269284947,2.4239417747697267,15662.70632901853,1.7168097367561586
52,utilitypv_losangeles,3,42599.25,0.0,42599.25,22.758197903644582,121939.671537,13.365966965983947
53,utilitypv_losangeles,3,73962.0,0.0,73962.0,39.51341475141841,196079.76325980003,21.492559438568076
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
56,Hydrogen,1,3695.9999999999995,0.0,3695.9999999999995,1.9745488348238611,5333.711959240757,0.584635147484828
57,Hydrogen,2,0.0,0.0,0.0,0.0,-5.906567513713837e-13,-6.474265944426323e-17
58,Hydrogen,3,25014.32640019671,0.0,25014.32640019671,13.363638811529267,11270.060070685517,1.235326032215285
