C27,C40,C54,C56,C57,C58,hour,SOC27,SOC40,SOC54,SOC56,SOC57,SOC58
0.0,0.0,0.0,1176.2502108197891,0.0,3958.607976680209,1,0.0,0.0,0.0,117944.53833928068,364934.893802357,162667.07320284966
0.0,0.0,0.0,744.6584908197894,0.0,3157.404281680213,2,0.0,0.0,0.0,118577.4980564775,362959.4176192787,165350.86684227787
0.0,0.0,0.0,162.68934081978958,0.0,1864.4102091802076,3,0.0,0.0,0.0,118715.78399617432,359038.0867434945,166935.61552008105
0.0,0.0,0.0,0.0,0.0,623.9051849999979,4,0.0,0.0,0.0,118715.78399617432,354139.8697288867,167465.93492733105
0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,117139.4077491155,348204.9366865143,167465.93492733105
0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,113775.52270302114,344244.1726397889,167308.78800577833
0.0,0.0,0.0,0.0,1572.0479274832073,0.0,7,0.0,0.0,0.0,113775.52270302114,345580.4133781496,167308.78800577833
0.0,0.0,0.0,0.0,28718.242023859224,0.0,8,0.0,0.0,0.0,113775.52270302114,369990.91909842996,167308.78800577833
0.0,0.0,0.0,6346.754379138963,35563.486068950355,9525.990332193303,9,0.0,0.0,0.0,119170.26392528925,400219.8822570377,175405.87978814266
0.0,0.0,0.0,6346.754379138962,35563.48606895036,9525.990332193302,10,0.0,0.0,0.0,124565.00514755736,430448.84541564557,183502.97157050695
0.0,0.0,0.0,6346.754379138963,35563.48606895036,9525.990332193303,11,0.0,0.0,0.0,129959.74636982549,460677.8085742533,191600.06335287125
0.0,0.0,0.0,6346.754379138962,35563.486068950355,9525.990332193303,12,0.0,0.0,0.0,135354.4875920936,490906.77173286106,199697.15513523555
0.0,0.0,0.0,6346.754379138963,35563.48606895036,9525.990332193303,13,0.0,0.0,0.0,140749.2288143617,521135.73489146895,207794.24691759984
0.0,0.0,0.0,5603.400126950176,35563.48606895036,9525.990332193302,14,0.0,0.0,0.0,145512.11892226938,551364.6980500767,215891.33869996417
0.0,0.0,0.0,0.0,34896.1401943,258.5186564863164,15,0.0,0.0,0.0,145512.11892226938,581026.4172152317,216111.07955797756
0.0,0.0,0.0,0.0,8229.766100608294,0.0,16,0.0,0.0,0.0,145512.11892226938,588021.7184007487,216111.07955797756
0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,140271.13973499855,575666.0695373174,206776.7321540719
0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,135218.06986537477,562284.1691961214,198617.11859722508
0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,130443.86541928038,550593.0359022196,189831.08933449595
0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,126160.42413789191,539228.4463814942,181511.1792188256
0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,121916.96356238578,528970.9756638275,174030.67351786117
0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,117735.47308099727,520352.73915004334,166325.04654630847
0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,113604.9579996088,514288.0148747296,157070.52083946165
0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,109167.59100057324,510013.73905235715,149330.7706973207
0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,104567.30262506712,505262.59532716114,140862.00609047388
0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,99666.1594377963,500914.6519797299,131600.46753950947
0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,94536.12670934902,494023.82201418094,122064.14052972147
0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,89235.17646325465,484649.704976279,112543.9750405217
0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,83907.23924068968,470856.92925073014,104214.17496308665
0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,78563.30973577179,453726.51734129887,95167.96202388692
0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,75688.84369375893,453726.51734129887,95167.96202388692
0.0,0.0,0.0,0.0,20669.446475139128,0.0,32,0.0,0.0,0.0,75688.84369375893,471295.54684516706,95167.96202388692
0.0,0.0,0.0,0.0,33976.75619140001,2268.911343059251,33,0.0,0.0,0.0,75688.84369375893,500175.78960785706,97096.53666548728
0.0,0.0,0.0,3818.719871076295,35563.48606895037,9525.990332193302,34,0.0,0.0,0.0,78934.75558417378,530404.752766465,105193.62844785157
0.0,0.0,0.0,6346.754379138963,35563.48606895036,9525.990332193302,35,0.0,0.0,0.0,84329.49680644188,560633.7159250729,113290.72023021588
0.0,0.0,0.0,6346.754379138963,35563.48606895036,9525.9903321933,36,0.0,0.0,0.0,89724.23802871001,590862.6790836806,121387.8120125802
0.0,0.0,0.0,6346.754379138963,35563.48606895036,9525.990332193302,37,0.0,0.0,0.0,95118.97925097813,621091.6422422886,129484.9037949445
0.0,0.0,0.0,782.013937158739,35563.48606895036,7270.7159934235615,38,0.0,0.0,0.0,95783.69109756305,651320.6054008964,135665.01238935452
0.0,0.0,0.0,0.0,26418.05978446818,0.0,39,0.0,0.0,0.0,95783.69109756305,673775.9562176943,135665.01238935452
0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,95783.69109756305,673775.9562176943,135665.01238935452
0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,90798.58842793929,649706.6392277614,124457.96493971534
0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,87128.85098184492,624002.6744111223,113250.91749007616
0.0,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,84199.75611222113,598115.297162248,102043.870040437
0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,81375.61059553854,573015.7984965815,91227.79214241372
0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,79710.90554944417,550313.6372093855,81417.20550027279
0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,79327.5821268792,530264.8580345424,72189.79072283773
0.0,0.0,0.0,673.2929308197888,0.0,0.0,47,0.0,0.0,0.0,79899.88111807604,511967.4258833464,64144.88943657916
0.0,0.0,0.0,902.682230819789,0.0,0.0,48,0.0,0.0,0.0,80667.16101427285,494189.0202945034,59374.55538855586
0.0,0.0,0.0,925.6211608197902,0.0,0.0,49,0.0,0.0,0.0,81453.93900096968,476208.7387950721,57654.381625826696
0.0,0.0,0.0,749.7560308197903,0.0,0.0,50,0.0,0.0,0.0,82091.23162716649,457590.08331305254,56607.2856807446
0.0,0.0,0.0,370.83889081978884,0.0,392.11548668021163,51,0.0,0.0,0.0,82406.4446843633,437179.51656597416,56940.58384442278
0.0,0.0,0.0,449.0011708197895,0.0,580.7528541802127,52,0.0,0.0,0.0,82788.09567956014,412082.1139248958,57434.223770475954
0.0,0.0,0.0,253.59547081978928,0.0,930.8895816802103,53,0.0,0.0,0.0,83003.65182975694,379262.6909579352,58225.479914904136
