C27,C40,C54,C56,C57,C58,hour,SOC27,SOC40,SOC54,SOC56,SOC57,SOC58
0.0,0.0,0.0,610.8704120495114,0.0,5807.512988490302,1,0.0,0.0,0.0,13962.992224055268,1.4071257371005157e6,93737.62214410216
0.0,0.0,0.0,0.0,0.0,3171.207367334922,2,0.0,0.0,0.0,13962.992224055268,1.4068997496184483e6,95980.00437809342
0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,13836.582101322936,1.3988387360502086e6,95980.00437809342
0.0,0.0,0.0,0.0,11532.005155569443,0.0,4,0.0,0.0,0.0,13836.582101322936,1.40699309509639e6,95980.00437809342
0.0,0.0,0.0,7024.187238713915,27004.563712799987,10901.922806373525,5,0.0,0.0,0.0,18803.43253014156,1.4260882052206951e6,103688.82792245243
0.0,0.0,0.0,7024.187238713915,27004.563712799987,10901.922806373523,6,0.0,-1.597053787704702e-25,0.0,23770.28295896018,1.4451833153450002e6,111397.65146681143
0.0,0.0,0.0,7024.187238713914,27004.563712799987,10901.922806373523,7,0.0,-3.194107575409404e-25,0.0,28737.133387778795,1.4642784254693054e6,119106.4750111704
0.0,0.0,0.0,0.0,17381.78491580275,0.0,8,0.0,-3.194107575409404e-25,0.0,28737.133387778795,1.4765692034523955e6,119106.4750111704
0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,-3.194107575409404e-25,0.0,22055.603930484474,1.4589865909853273e6,109815.3081930107
0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,-3.194107575409404e-25,0.0,22055.603930484474,1.450204082050238e6,95050.11504277398
0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,-3.194107575409404e-25,0.0,16497.47856311703,1.4439339328748288e6,87642.96020386831
0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,-2.137410332416819e-25,0.0,16497.47856311703,1.442794692677215e6,73158.55159008922
0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,-1.0687051662084094e-25,0.0,10292.34453005373,1.4424006907514867e6,63828.1980319221
0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,3528.5122062781315,1.4376997148981579e6,53566.91427499662
0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,3040.5837082707935,1.417000322347038e6,38149.26718627863
0.0,-3.4738848956724893e-25,0.0,0.0,292.96552319047663,0.0,16,0.0,-3.194107575409404e-25,0.0,3040.5837082707935,1.4172074802551398e6,38149.26718627863
0.0,0.0,0.0,819.8978205808273,27004.563712799987,10901.922806373525,17,0.0,-3.194107575409404e-25,0.0,3620.339017083568,1.4363025903794449e6,45858.090730637625
0.0,0.0,0.0,7024.187238713916,27004.563712799987,10901.922806373525,18,0.0,-3.194107575409404e-25,0.0,8587.189445902186,1.45539770050375e6,53566.91427499662
0.0,0.0,0.0,6022.64081863555,27004.563712799987,10901.922806373525,19,0.0,-3.194107575409404e-25,0.0,12845.839609410285,1.474492810628055e6,61275.737819355614
0.0,0.0,0.0,0.0,6387.563881535794,0.0,20,0.0,-3.194107575409404e-25,0.0,12845.839609410285,1.479009500363951e6,61275.737819355614
0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,9639.097773046631,1.4472250290077645e6,45858.09073063762
0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,5686.77942833938,1.4216746617150537e6,33603.32657907872
0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,3961.444485428357,1.4010545241178488e6,23431.46969308977
0.0,0.0,0.0,438.40364204951175,0.0,0.0,24,0.0,0.0,0.0,4271.442673618447,1.384446395360511e6,17433.048533242414
0.0,0.0,0.0,488.1046570495096,0.0,671.2039015217248,25,0.0,0.0,0.0,4616.5847865468895,1.3675238626354625e6,17907.661363567295
0.0,0.0,0.0,60.33609204951138,0.0,2537.4135714228128,26,0.0,0.0,0.0,4659.248846385394,1.3452466382661106e6,19701.88370659515
0.0,0.0,0.0,7.661512049510698,0.0,2716.3212580159,27,0.0,0.0,0.0,4664.666353509747,1.3070564180175005e6,21622.612888019365
0.0,-3.481925735300931e-25,0.0,1582.5956059496302,0.0,9008.696401365949,28,0.0,-3.194107575409404e-25,0.0,5783.7304383527635,1.3070564180175005e6,27992.72320307608
0.0,0.0,0.0,7024.187238713916,27004.563712799987,10901.922806373525,29,0.0,-3.194107575409404e-25,0.0,10750.580867171382,1.3261515281418054e6,35701.54674743507
0.0,0.0,0.0,7024.187238713915,27004.563712799987,10901.922806373525,30,0.0,-3.194107575409404e-25,0.0,15717.431295990002,1.3452466382661108e6,43410.37029179407
