C27,C40,C54,C56,C57,C58,hour,SOC27,SOC40,SOC54,SOC56,SOC57,SOC58
0.0,0.0,0.0,231.32571371532018,0.0,0.0,1,0.0,0.0,3.877409121342317e-25,245599.83163995304,571605.6419675163,39929.472673708085
0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,3.877409121342317e-25,245599.83163995304,565895.79115496,39929.472673708085
0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,3.877409121342317e-25,244949.3600217516,559403.1681530152,39929.472673708085
0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,243338.81831531177,552140.7065725075,39109.44740300306
0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,239858.5333498799,543854.8606975038,37942.10828020558
0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,235732.27005790625,535976.1925325692,35188.969534126576
0.0,0.0,0.0,0.0,3635.7545752843043,0.0,7,0.0,0.0,0.0,235732.27005790625,539328.1926268331,35188.969534126576
0.0,0.0,0.0,0.0,32827.89702314961,0.0,8,0.0,0.0,0.0,235732.27005790625,569594.0182312692,35188.969534126576
0.0,0.0,0.0,6427.161491819896,34941.51980000001,8179.682319583273,9,0.0,0.0,0.0,241657.8201687097,601808.5077514171,42730.26401331964
0.0,0.0,0.0,6427.161491819895,34941.5198,8179.682319583273,10,0.0,0.0,0.0,247583.37027951315,634022.997271565,50271.5584925127
0.0,0.0,0.0,6427.161491819896,34941.51980000001,8179.682319583273,11,0.0,0.0,0.0,253508.9203903166,666237.486791713,57812.85297170575
0.0,0.0,0.0,6427.161491819896,34941.51980000001,8179.682319583273,12,0.0,0.0,3.877409121342317e-25,259434.47050112006,698451.976311861,65354.14745089881
0.0,0.0,0.0,6427.161491819896,34941.51980000001,8179.682319583274,13,0.0,0.0,3.877409121342317e-25,265360.0206119235,730666.465832009,72895.44193009187
0.0,0.0,0.0,6427.161491819895,34941.51980000001,8179.682319583274,14,0.0,0.0,3.877409121342317e-25,271285.5707227269,762880.9553521569,80436.73640928495
0.0,0.0,0.0,0.0,34941.51980000001,4799.960223103991,15,0.0,0.0,3.877409121342317e-25,271285.5707227269,795095.4448723048,84862.08107629942
0.0,0.0,0.0,0.0,10985.077328827609,0.0,16,0.0,0.0,3.877409121342317e-25,271285.5707227269,805223.1857522974,84862.08107629942
0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,3.877409121342317e-25,265428.7121422432,789510.4122978258,78473.7782876533
0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,3.877409121342317e-25,259745.09739255818,772910.6157330604,73562.49957435948
0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,254318.58385985627,757071.053693164,68444.4704615389
0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,249344.5316086551,741681.5767978452,63449.578452211754
0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,244407.33974698556,727700.7583303003,58788.638680358185
0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,239527.2814890901,715472.2332732198,54179.69079402785
0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,3.877409121342317e-25,234694.2202278474,705200.5226860484,49076.8000105083
0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,3.877409121342317e-25,229578.25547694945,696095.5897037608,44554.75533330195
