ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,25884.52504980074,5.6771541217295995
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,20420.39637916142,36734.21,-16313.81362083858,21.82062594612421,40116.49545341174,8.79859789099883
6,natural_gas_fired_combustion_turbine,2,0.0,4704.48,-4704.48,0.0,0.0,0.0
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,42697.85811890431,9.364758315726917
9,onshore_wind_turbine,2,6979.000000000001,6979.0,9.094947017729282e-13,7.457551050938741,16189.27073204339,3.550730982600123
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,840.3592068811505,0.1843127786157879
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,2507.9914628430565,3427.34,-919.3485371569436,2.6799648043373865,7092.450130828742,1.5555600273108348
14,natural_gas_fired_combustion_turbine,3,0.0,1207.96,-1207.96,0.0,0.0,0.0
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,27493.156627542878,6.029969148250376
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,285.3291671916748,0.06258015762141096
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,4880.202731479448,0.0,4880.202731479448,5.214838946688445,13476.900248679358,2.9558371130135015
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,0.0,0.0,0.0,0.0,1.1258298159472966e-11,2.469239581438823e-15
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,10864.506254838583,0.0,10864.506254838583,11.60948703807164,63213.34894429825,13.8643426455382
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.0550000000003,0.0,1848.0550000000003,1.9747764016968896,5403.353510346222,1.1850969099647548
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,7.169560123708481e-14,1.5724722678507522e-17
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,41431.50000000001,0.0,41431.50000000001,44.27246401590033,110084.00055785682,24.144303837953995
39,utilitypv_losangeles,2,32915.25,0.0,32915.25,35.17225350758151,84338.95531739027,18.497741290647188
40,battery,2,0.0,0.0,0.0,0.0,-9.68974540539625e-25,-2.1252148903995146e-28
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,6526.368258859785,0.0,6526.368258859785,6.973882285094285,24567.26624288036,5.388244773356207
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,-1.622353454972075e-25,-3.558245935004271e-29
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,9071.750278544077,0.0,9071.750278544077,9.693801522225273,24773.90891987444,5.4335669232958
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
54,battery,3,0.0,0.0,0.0,0.0,-9.546009610176562e-28,-2.0936898668303523e-31
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
56,Hydrogen,1,5557.65594679909,0.0,5557.65594679909,5.938745228085326,6646.392887190342,1.4577279939095273
57,Hydrogen,2,30061.287831442773,0.0,30061.287831442773,32.12259473562803,37164.331437846864,8.15111102088085
58,Hydrogen,3,7811.918102727273,0.0,7811.918102727273,8.347582469815324,10438.637857950032,2.289466614762547
