C27,C40,C54,C56,C57,C58,hour,SOC27,SOC40,SOC54,SOC56,SOC57,SOC58
0.0,0.0,0.0,2661.3991461458463,0.0,1410.5647942544304,1,0.0,0.0,0.0,100066.63573697877,0.0,69221.30637548422
0.0,0.0,0.0,253.85242861098322,0.0,2607.521907185852,2,0.0,0.0,0.0,100257.02505843701,0.0,71176.9478058736
0.0,0.0,0.0,1076.3088295796679,0.0,0.0,3,0.0,0.0,0.0,101064.25668062177,0.0,71176.9478058736
0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,101064.25668062177,0.0,71176.9478058736
0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,101064.25668062177,0.0,71176.9478058736
0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,101064.25668062177,0.0,71176.9478058736
0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,101064.25668062177,0.0,71176.9478058736
0.0,0.0,0.0,2449.631136054251,0.0,0.0,8,0.0,0.0,0.0,102901.48003266245,0.0,71176.9478058736
0.0,0.0,0.0,2661.399146145846,0.0,3255.7064266622183,9,0.0,0.0,0.0,104897.52939227183,0.0,73618.72762587026
0.0,0.0,0.0,2661.399146145846,0.0,3255.7064266622187,10,0.0,0.0,0.0,106893.57875188123,0.0,76060.50744586693
0.0,0.0,0.0,2661.399146145846,0.0,3255.7064266622187,11,0.0,0.0,0.0,108889.6281114906,0.0,78502.28726586359
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,12,0.0,0.0,0.0,110885.6774711,0.0,80944.06708586025
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,13,0.0,0.0,0.0,112881.72683070938,0.0,83385.8469058569
0.0,0.0,0.0,2661.399146145846,0.0,3255.7064266622187,14,0.0,0.0,0.0,114877.77619031878,0.0,85827.62672585357
0.0,0.0,0.0,2661.3991461458463,0.0,2901.01050051474,15,0.0,0.0,0.0,116873.82554992815,0.0,88003.38460123964
0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,116873.82554992815,0.0,88003.38460123964
0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,113325.29335506704,0.0,83662.44269902336
0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,109776.76116020592,0.0,79321.50079680706
0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,106228.22896534478,0.0,74980.55889459078
0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,102679.69677048366,0.0,70639.61699237449
0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,99275.08393950768,0.0,66298.6750901582
0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,95726.55174464655,0.0,63860.64501605891
0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,95255.50589842923,0.0,59519.70311384262
0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,93152.64987126685,0.0,59519.70311384262
0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,93152.64987126685,0.0,55952.274238169324
0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,89604.11767640573,0.0,54949.00179023753
0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,86212.23458151569,0.0,50608.05988802124
0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,82663.70238665456,0.0,46267.11798580495
0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,79115.17019179346,0.0,41926.17608358865
0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,75566.63799693233,0.0,37585.23418137236
0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,75566.63799693233,0.0,35759.849122872496
0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,75566.63799693233,0.0,35759.849122872496
0.0,0.0,0.0,2661.3991461458463,0.0,72.78138841635155,33,0.0,0.0,0.0,77562.68735654172,0.0,35814.43516418477
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,34,0.0,0.0,0.0,79558.7367161511,0.0,38256.214984181424
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,35,0.0,0.0,0.0,81554.7860757605,0.0,40697.99480417809
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,36,0.0,0.0,0.0,83550.83543536988,0.0,43139.77462417475
0.0,0.0,0.0,2661.399146145846,0.0,3255.7064266622187,37,0.0,0.0,0.0,85546.88479497927,0.0,45581.55444417141
0.0,0.0,0.0,2661.399146145846,0.0,3255.7064266622187,38,0.0,0.0,0.0,87542.93415458866,0.0,48023.33426416807
0.0,0.0,0.0,2428.735810106892,0.0,3255.7064266622187,39,0.0,0.0,0.0,89364.48601216881,0.0,50465.114084164736
0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,89364.48601216881,0.0,50465.114084164736
0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,85815.95381730769,0.0,46124.172181948445
0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,82267.42162244658,0.0,41783.23027973215
0.0,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,78718.88942758547,0.0,37442.28837751586
0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,75170.35723272433,0.0,33101.34647529958
0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,72629.28343087231,0.0,28760.404573083284
0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,71540.44213568696,0.0,24419.462670866993
0.0,0.0,0.0,182.48686861098304,0.0,0.0,47,0.0,0.0,0.0,71677.30728714519,0.0,20177.97282768481
0.0,0.0,0.0,411.87616861098405,0.0,0.0,48,0.0,0.0,0.0,71986.21441360343,0.0,19291.57031430838
0.0,0.0,0.0,434.8150986109842,0.0,0.0,49,0.0,0.0,0.0,72312.32573756168,0.0,19291.57031430838
0.0,0.0,0.0,258.94996861098446,0.0,0.0,50,0.0,0.0,0.0,72506.5382140199,0.0,19291.57031430838
0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,72506.5382140199,0.0,19291.57031430838
0.0,0.0,0.0,35.26800025096195,0.0,0.0,52,0.0,0.0,0.0,72532.98921420814,0.0,19291.57031430838
0.0,0.0,0.0,167.6738312770011,0.0,0.0,53,0.0,0.0,0.0,72658.74458766587,0.0,19291.57031430838
0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,72658.74458766587,0.0,19291.57031430838
0.0,0.0,0.0,2358.831274927863,0.0,0.0,55,0.0,0.0,0.0,74427.86804386177,0.0,19291.57031430838
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,56,0.0,0.0,0.0,76423.91740347116,0.0,21733.350134305045
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,57,0.0,0.0,0.0,78419.96676308055,0.0,24175.12995430171
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,58,0.0,0.0,0.0,80416.01612268994,0.0,26616.909774298372
0.0,0.0,0.0,2661.399146145846,0.0,3255.706426662219,59,0.0,0.0,0.0,82412.06548229931,0.0,29058.689594295043
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,60,0.0,0.0,0.0,84408.1148419087,0.0,31500.469414291707
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,61,0.0,0.0,0.0,86404.16420151808,0.0,33942.24923428837
0.0,0.0,0.0,2661.399146145846,0.0,3255.706426662219,62,0.0,0.0,0.0,88400.21356112747,0.0,36384.029054285034
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,63,0.0,0.0,0.0,90396.26292073686,0.0,38825.8088742817
0.0,0.0,0.0,429.25426105914374,0.0,0.0,64,0.0,0.0,0.0,90718.20361653122,0.0,38825.8088742817
0.0,0.0,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,90718.20361653122,0.0,38825.8088742817
0.0,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,90718.20361653122,0.0,36149.36477382156
0.0,0.0,0.0,0.0,0.0,472.2127763845106,67,0.0,0.0,0.0,90718.20361653122,0.0,36503.524356109934
0.0,0.0,0.0,613.818492376915,0.0,518.0765841545162,68,0.0,0.0,0.0,91178.5674858139,0.0,36892.08179422583
0.0,0.0,0.0,0.0,0.0,1714.0653695235485,69,0.0,0.0,0.0,91178.5674858139,0.0,38177.6308213685
0.0,0.0,0.0,2213.0980797743828,0.0,0.0,70,0.0,0.0,0.0,92838.39104564469,0.0,38177.6308213685
0.0,0.0,0.0,0.0,0.0,3251.8158731845615,71,0.0,0.0,0.0,92838.39104564469,0.0,40616.49272625692
0.0,0.0,0.0,1420.3394986109852,0.0,3016.1439649080257,72,0.0,0.0,0.0,93903.64566960292,0.0,42878.60069993793
0.0,0.0,0.0,1521.4407086109838,0.0,2225.2949511000943,73,0.0,0.0,0.0,95044.72620106116,0.0,44547.571913263004
0.0,0.0,0.0,1051.617438610985,0.0,929.4063725824066,74,0.0,0.0,0.0,95833.43928001939,0.0,45244.62669269981
0.0,0.0,0.0,288.6856186109854,0.0,0.0,75,0.0,0.0,0.0,96049.95349397763,0.0,45244.62669269981
0.0,0.0,0.0,209.6737486109835,0.0,0.0,76,0.0,0.0,0.0,96207.20880543586,0.0,45244.62669269981
0.0,0.0,0.0,0.0,0.0,0.0,77,0.0,0.0,0.0,96207.20880543586,0.0,45244.62669269981
0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,0.0,0.0,96140.75312920727,0.0,45244.62669269981
0.0,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,96140.75312920727,0.0,45244.62669269981
0.0,0.0,0.0,815.8927879168662,0.0,942.5725526272488,80,0.0,0.0,0.0,96752.67272014491,0.0,45951.55610717025
0.0,0.0,0.0,0.0,0.0,0.0,81,0.0,0.0,0.0,96752.67272014491,0.0,45951.55610717025
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,82,0.0,0.0,0.0,98748.7220797543,0.0,48393.3359271669
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,83,0.0,0.0,0.0,100744.77143936369,0.0,50835.11574716357
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,84,0.0,0.0,0.0,102740.82079897307,0.0,53276.89556716023
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,85,0.0,0.0,0.0,104736.87015858246,0.0,55718.675387156894
0.0,0.0,0.0,2661.399146145846,0.0,3255.706426662219,86,0.0,0.0,0.0,106732.91951819185,0.0,58160.45520715356
0.0,0.0,0.0,2213.7087924842695,0.0,3255.7064266622187,87,0.0,0.0,0.0,108393.20111255505,0.0,60602.23502715022
0.0,0.0,0.0,0.0,0.0,0.0,88,0.0,0.0,0.0,108393.20111255505,0.0,60602.23502715022
0.0,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0,104844.66891769393,0.0,56261.293124933916
0.0,0.0,0.0,0.0,0.0,0.0,90,0.0,0.0,0.0,101296.1367228328,0.0,51920.351222717625
0.0,0.0,0.0,0.0,0.0,0.0,91,0.0,0.0,0.0,97747.6045279717,0.0,47579.40932050133
0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,94352.409579453,0.0,43238.467418285036
0.0,0.0,0.0,0.0,0.0,0.0,93,0.0,0.0,0.0,91267.59817760096,0.0,38897.52551606875
0.0,0.0,0.0,0.0,0.0,0.0,94,0.0,0.0,0.0,88518.09162908228,0.0,34556.58361385246
0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,85936.23750723024,0.0,30632.013946112078
0.0,0.0,0.0,0.0,0.0,0.0,96,0.0,0.0,0.0,83634.18169204489,0.0,27950.77004567795
0.0,0.0,0.0,0.0,0.0,0.0,97,0.0,0.0,0.0,81644.77499685953,0.0,24575.786019270894
0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,79119.56020834084,0.0,20234.844117054607
0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,76492.39461982217,0.0,15893.902214838316
0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,72943.86242496103,0.0,11552.96031262202
0.0,0.0,0.0,0.0,0.0,0.0,101,0.0,0.0,0.0,69395.3302300999,0.0,7212.018410405731
0.0,0.0,0.0,0.0,0.0,0.0,102,0.0,0.0,0.0,65846.79803523878,0.0,2871.0765081894397
0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,62586.75024211071,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,104,0.0,0.0,0.0,62586.75024211071,0.0,0.0
0.0,0.0,0.0,1681.2509376981543,0.0,330.61263872973296,105,0.0,0.0,0.0,63847.68844538433,0.0,247.9594790472997
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,106,0.0,0.0,0.0,65843.73780499371,0.0,2689.7392990439635
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,107,0.0,0.0,0.0,67839.7871646031,0.0,5131.519119040627
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,108,0.0,0.0,0.0,69835.83652421249,0.0,7573.29893903729
0.0,0.0,0.0,2661.399146145846,0.0,3255.7064266622187,109,0.0,0.0,0.0,71831.88588382187,0.0,10015.078759033955
0.0,0.0,0.0,2661.399146145846,0.0,3255.7064266622187,110,0.0,0.0,0.0,73827.93524343126,0.0,12456.85857903062
0.0,0.0,0.0,2661.399146145846,0.0,1662.639369926142,111,0.0,0.0,0.0,75823.98460304065,0.0,13703.838106475225
0.0,0.0,0.0,0.0,0.0,0.0,112,0.0,0.0,0.0,75823.98460304065,0.0,13703.838106475225
0.0,0.0,0.0,0.0,0.0,0.0,113,0.0,0.0,0.0,72275.45240817952,0.0,9362.896204258934
0.0,0.0,0.0,0.0,0.0,0.0,114,0.0,0.0,0.0,72275.45240817952,0.0,7291.37029655395
0.0,0.0,0.0,0.0,0.0,0.0,115,0.0,0.0,0.0,68726.9202133184,0.0,2950.428394337657
0.0,0.0,0.0,450.10771861098414,0.0,0.0,116,0.0,0.0,0.0,69064.50100227665,0.0,1810.4530278715413
0.0,0.0,0.0,688.8425086109846,0.0,0.0,117,0.0,0.0,0.0,69581.13288373488,0.0,343.15402776951004
0.0,0.0,0.0,812.6375945330702,0.0,0.0,118,0.0,0.0,0.0,70190.61107963468,0.0,343.15402776951004
0.0,0.0,0.0,2530.1380477832113,0.0,0.0,119,0.0,0.0,0.0,72088.2146154721,0.0,343.15402776951004
0.0,0.0,0.0,2596.3870265923433,0.0,0.0,120,0.0,0.0,0.0,74035.50488541636,0.0,343.15402776951004
0.0,0.0,0.0,2661.3991461458463,0.0,210.59945310416907,121,0.0,0.0,0.0,76031.55424502573,0.0,501.1036175976368
0.0,0.0,0.0,0.0,0.0,3101.901831844373,122,0.0,0.0,0.0,76031.55424502573,0.0,2827.529991480917
0.0,0.0,0.0,2661.3991461458463,0.0,90.8840442341262,123,0.0,0.0,0.0,78027.60360463512,0.0,2895.6930246565116
0.0,0.0,0.0,2661.3991461458463,0.0,108.4362049663287,124,0.0,0.0,0.0,80023.65296424451,0.0,2977.0201783812577
0.0,0.0,0.0,985.5156813427058,0.0,0.0,125,0.0,0.0,0.0,80762.78972525154,0.0,2977.0201783812577
0.0,0.0,0.0,0.0,0.0,552.2146884975087,126,0.0,0.0,0.0,80762.78972525154,0.0,3391.1811947543897
0.0,0.0,0.0,1722.5617621450353,0.0,0.0,127,0.0,0.0,0.0,82054.7110468603,0.0,3391.1811947543897
0.0,0.0,0.0,2661.3991461458463,0.0,3133.1254389371747,128,0.0,0.0,0.0,84050.7604064697,0.0,5741.025273957271
0.0,0.0,0.0,2661.399146145846,0.0,3255.706426662219,129,0.0,0.0,0.0,86046.80976607908,0.0,8182.805093953934
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,130,0.0,0.0,0.0,88042.85912568847,0.0,10624.584913950595
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,131,0.0,0.0,0.0,90038.90848529786,0.0,13066.364733947263
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,132,0.0,0.0,0.0,92034.95784490724,0.0,15508.144553943926
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,133,0.0,0.0,0.0,94031.00720451663,0.0,17949.92437394059
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,134,0.0,0.0,0.0,96027.05656412602,0.0,20391.704193937254
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,135,0.0,0.0,0.0,98023.1059237354,0.0,22833.48401393392
0.0,0.0,0.0,2661.399146145846,0.0,0.0,136,0.0,0.0,0.0,100019.1552833448,0.0,22833.48401393392
0.0,0.0,0.0,325.2179886109841,0.0,0.0,137,0.0,0.0,0.0,100263.06877480303,0.0,19814.044400995434
0.0,0.0,0.0,0.0,0.0,0.0,138,0.0,0.0,0.0,100263.06877480303,0.0,19814.044400995434
0.0,0.0,0.0,0.0,0.0,0.0,139,0.0,0.0,0.0,100263.06877480303,0.0,19814.044400995434
0.0,0.0,0.0,0.0,0.0,0.0,140,0.0,0.0,0.0,100263.06877480303,0.0,19814.044400995434
0.0,0.0,0.0,0.0,0.0,0.0,141,0.0,0.0,0.0,100263.06877480303,0.0,19814.044400995434
0.0,0.0,0.0,0.0,0.0,411.95567192559133,142,0.0,0.0,0.0,100263.06877480303,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,143,0.0,0.0,0.0,100263.06877480303,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,144,0.0,0.0,0.0,100263.06877480303,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,145,0.0,0.0,0.0,100263.06877480303,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,146,0.0,0.0,0.0,100263.06877480303,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,147,0.0,0.0,0.0,100263.06877480303,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,148,0.0,0.0,0.0,100263.06877480303,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,149,0.0,0.0,0.0,100263.06877480303,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,98868.57470902058,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,151,0.0,0.0,0.0,98868.57470902058,0.0,20123.011154939628
0.0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,0.0,98868.57470902058,0.0,20123.011154939628
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,153,0.0,0.0,0.0,100864.62406862996,0.0,22564.790974936295
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,154,0.0,0.0,0.0,102860.67342823936,0.0,25006.57079493296
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,155,0.0,0.0,0.0,104856.72278784873,0.0,27448.350614929623
0.0,0.0,0.0,2661.3991461458463,0.0,3255.706426662219,156,0.0,0.0,0.0,106852.77214745813,0.0,29890.13043492629
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,157,0.0,0.0,0.0,108848.8215070675,0.0,32331.910254922954
0.0,0.0,0.0,2661.3991461458463,0.0,3255.7064266622187,158,0.0,0.0,0.0,110844.87086667691,0.0,34773.69007491962
0.0,0.0,0.0,0.0,0.0,2452.297956866285,159,0.0,0.0,0.0,110844.87086667691,0.0,36612.91354256933
0.0,0.0,0.0,0.0,0.0,0.0,160,0.0,0.0,0.0,110844.87086667691,0.0,36612.91354256933
0.0,0.0,0.0,0.0,0.0,0.0,161,0.0,0.0,0.0,107296.33867181577,0.0,32271.97164035304
0.0,0.0,0.0,0.0,0.0,0.0,162,0.0,0.0,0.0,103843.3716032971,0.0,27931.02973813675
0.0,0.0,0.0,0.0,0.0,0.0,163,0.0,0.0,0.0,101425.77154811175,0.0,23590.087835920454
0.0,0.0,0.0,0.0,0.0,0.0,164,0.0,0.0,0.0,98686.46007959307,0.0,19249.145933704163
0.0,0.0,0.0,0.0,0.0,0.0,165,0.0,0.0,0.0,95244.82087774103,0.0,14908.204031487872
0.0,0.0,0.0,0.0,0.0,0.0,166,0.0,0.0,0.0,92002.55212922237,0.0,13649.231144969337
0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0,90143.05626008192,0.0,13649.231144969337
0.0,0.0,0.0,0.0,0.0,0.0,168,0.0,0.0,0.0,89800.35351489406,0.0,13649.231144969337
0.0,0.0,0.0,0.0,0.0,0.0,169,0.0,0.0,0.0,89800.35351489406,0.0,13649.231144969337
0.0,0.0,0.0,0.0,0.0,0.0,170,0.0,0.0,0.0,89800.35351489406,0.0,13649.231144969337
0.0,0.0,0.0,0.0,0.0,0.0,171,0.0,0.0,0.0,89642.92276936662,0.0,13649.231144969337
0.0,0.0,0.0,0.0,0.0,0.0,172,0.0,0.0,0.0,87747.5383705632,0.0,13649.231144969337
0.0,0.0,0.0,0.0,0.0,0.0,173,0.0,0.0,0.0,84199.00617570209,0.0,12698.802519398789
0.0,0.0,0.0,0.0,0.0,0.0,174,0.0,0.0,0.0,80650.47398084096,0.0,8533.78984771516
0.0,0.0,0.0,0.0,0.0,0.0,175,0.0,0.0,0.0,77101.94178597984,0.0,7439.644099189262
0.0,0.0,0.0,0.0,0.0,0.0,176,0.0,0.0,0.0,77101.94178597984,0.0,7439.644099189262
0.0,0.0,0.0,0.0,0.0,0.0,177,0.0,0.0,0.0,77101.94178597984,0.0,7439.644099189262
0.0,0.0,0.0,0.0,0.0,163.67269995411644,178,0.0,0.0,0.0,77101.94178597984,0.0,7562.398624154849
0.0,0.0,0.0,1987.4727289707337,0.0,3255.7064266622187,179,0.0,0.0,0.0,78592.54633270789,0.0,10004.178444151514
0.0,0.0,0.0,0.0,0.0,2091.0419781680635,180,0.0,0.0,0.0,78592.54633270789,0.0,11572.459927777561
0.0,0.0,0.0,0.0,0.0,179.59232431329735,181,0.0,0.0,0.0,78592.54633270789,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,182,0.0,0.0,0.0,78592.54633270789,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,183,0.0,0.0,0.0,78592.54633270789,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,184,0.0,0.0,0.0,76860.40015520269,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,185,0.0,0.0,0.0,74462.34568667917,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,186,0.0,0.0,0.0,72193.15482535104,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,187,0.0,0.0,0.0,71206.52444152256,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,188,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,189,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,190,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,191,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,192,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,193,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,194,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,195,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,196,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,197,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,198,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,199,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,201,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,0.0,202,0.0,0.0,0.0,69364.48096157933,0.0,11707.154171012533
0.0,0.0,0.0,0.0,0.0,8.609422587223568,203,0.0,0.0,0.0,69364.48096157933,0.0,11713.611237952951
0.0,0.0,0.0,0.0,0.0,0.0,204,0.0,0.0,0.0,69364.48096157933,0.0,11713.611237952951
0.0,0.0,0.0,0.0,0.0,0.0,205,0.0,0.0,0.0,69364.48096157933,0.0,11713.611237952951
0.0,0.0,0.0,0.0,0.0,0.0,206,0.0,0.0,0.0,69364.48096157933,0.0,11713.611237952951
0.0,0.0,0.0,0.0,0.0,0.0,207,0.0,0.0,0.0,69364.48096157933,0.0,11713.611237952951
0.0,0.0,0.0,0.0,0.0,0.0,208,0.0,0.0,0.0,68306.51517995074,0.0,11713.611237952951
0.0,0.0,0.0,0.0,0.0,0.0,209,0.0,0.0,0.0,66387.92901323168,0.0,11713.611237952951
0.0,0.0,0.0,0.0,0.0,0.0,210,0.0,0.0,0.0,64369.27898871682,0.0,11713.611237952951
0.0,0.0,0.0,0.0,0.0,0.0,211,0.0,0.0,0.0,60820.74679385568,0.0,11330.331006948636
0.0,0.0,0.0,0.0,0.0,0.0,212,0.0,0.0,0.0,57272.21459899455,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,213,0.0,0.0,0.0,54758.2004190138,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,214,0.0,0.0,0.0,54352.270579983044,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,215,0.0,0.0,0.0,53719.48545207348,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,216,0.0,0.0,0.0,52188.28204294553,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,217,0.0,0.0,0.0,52188.28204294553,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,218,0.0,0.0,0.0,52188.28204294553,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,219,0.0,0.0,0.0,52188.28204294553,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,220,0.0,0.0,0.0,49517.410967368334,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,0.0,47665.17665338856,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,222,0.0,0.0,0.0,46980.98011453221,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,223,0.0,0.0,0.0,45306.19498448154,0.0,11286.319597614964
0.0,0.0,0.0,0.0,0.0,0.0,224,0.0,0.0,0.0,45306.19498448154,0.0,11286.319597614964
