C27,C40,C54,C56,C57,C58,hour,SOC27,SOC40,SOC54,SOC56,SOC57,SOC58
0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,809.2957533596069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,788.9616892048429,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,788.9616892048429,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,687.291368431023,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,585.6210476572029,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,44,0.0,0.0,0.0,650.6900529524477,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,45,0.0,0.0,0.0,715.7590582476926,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,46,0.0,0.0,0.0,780.8280635429372,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,47,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,48,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,49,0.0,0.0,0.0,910.9660741334267,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,809.2957533596066,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,707.6254325857867,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,605.9551118119668,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,504.28479103814703,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,402.61447026432705,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,402.61447026432705,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,305.01096232145994,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,203.34064154764005,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,101.67032077382011,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,81.33625661905596,0.0,0.0,60,0.0,0.0,0.0,65.06900529524493,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,61,0.0,0.0,0.0,130.1380105904897,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,62,0.0,0.0,0.0,195.20701588573445,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,63,0.0,0.0,0.0,260.2760211809792,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,64,0.0,0.0,0.0,325.345026476224,0.0,0.0
0.0,0.0,0.0,81.33625661905596,0.0,0.0,65,0.0,0.0,0.0,390.41403177146884,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,66,0.0,0.0,0.0,455.48303706671356,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,67,0.0,0.0,0.0,520.5520423619582,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,68,0.0,0.0,0.0,585.621047657203,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,69,0.0,0.0,0.0,650.6900529524478,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,70,0.0,0.0,0.0,715.7590582476926,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,71,0.0,0.0,0.0,780.8280635429372,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,72,0.0,0.0,0.0,845.8970688381818,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,74,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,75,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,77,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,81,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,83,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,84,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,86,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,87,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,88,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,90,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,91,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,93,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,94,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,96,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,97,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,101,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,102,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,104,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,105,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,107,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,108,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,110,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,910.9660741334268,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,112,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,113,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,114,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,115,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,117,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,118,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,119,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,845.8970688381821,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,121,0.0,0.0,0.0,12.200438492858495,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,122,0.0,0.0,0.0,77.26944378810327,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,123,0.0,0.0,0.0,40.6681283095281,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,124,0.0,0.0,0.0,105.73713360477286,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,125,0.0,0.0,0.0,69.1358181261977,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,126,0.0,0.0,0.0,32.53450264762256,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,127,0.0,0.0,0.0,97.60350794286734,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,128,0.0,0.0,0.0,61.002192464292165,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,129,0.0,0.0,0.0,24.400876985717005,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,131,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,132,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,133,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,134,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,81.33625661905594,0.0,0.0,135,0.0,0.0,0.0,0.0,0.0,0.0
