ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,21901.640752935957,4.8036070238852595
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,11486.760723671934,36734.21,-25247.449276328065,12.274409586860791,14934.942217706006,3.2756264312606795
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,10.299318770815756,0.0022589120398247694
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,40508.441191612495,8.884568732988102
9,onshore_wind_turbine,2,6979.000000000001,6979.0,9.094947017729282e-13,7.457551050938741,17098.14865266364,3.7500746126684277
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,722.2321331999998,0.15840454087669595
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,9473.876282170493,2.077870747941732
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,1.2079599999999997,0.0002649374631804511
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,23508.72085595432,5.156082044267942
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,233.59320875,0.05123314691083029
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,9345.233352035917,0.0,9345.233352035917,9.986037370073536,22943.961653436298,5.032215467209976
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,3772.3761604705082,0.0,3772.3761604705082,4.031048545644516,11981.215250770749,2.627796263417775
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,14976.103679759844,0.0,14976.103679759844,16.003017299894047,93892.94860244791,20.59319813012437
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.0550000000003,0.0,1848.0550000000003,1.9747764016968896,5890.1237722718415,1.2918593745194968
33,landbasedwind_ltrg1,2,2552.931,0.0,2552.931,2.727985852131263,8162.427568887,1.790235482545034
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,41431.50000000001,0.0,41431.50000000001,44.27246401590033,110239.25704226256,24.17837436974298
39,utilitypv_losangeles,2,32915.25,0.0,32915.25,35.17225350758151,81867.89248072832,17.955786408303332
40,battery,2,23666.62744157191,0.0,23666.62744157191,25.289451547366408,52898.58263146094,11.6020532867154
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,-9.486224819885424e-14,-2.0805791077021393e-17
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,3709.537709948317,0.0,3709.537709948317,3.9639012533775544,13222.004299193053,2.8999340021103563
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,1336.9557445160826,0.0,1336.9557445160826,1.4286309954971337,3096.5607683301196,0.6791573848020551
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
